"Function
功能"	"Class ID
类"	"Ver.
版本"	"FID2/
IDIS/Hexing"	"Attribute
&
Method
No.
属性
方法"	"Object
&
Attribute
Name
对象&属性名"	"Attribute
&
Parameter
Type
属性&方法参数类型"	"OBIS Code
&
Default Value
OBIS&默认值"	"Display OBIS code（6）
显示OBIS（6 段）"	"Display OBIS code（4）
显示OBIS（4 段）"	"Access Right
访问权限"				"Comments
注释"	"XML Comments
XML 注释"	"Coding
编码"
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Duration for phase failure in L3		1-0:72.138.0.255	72.138.0						C相断相持续时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	3	0	Hexing		Threshold for over demand		1-0:11.137.0.255	11.137.0						需量超限阀值（%）		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type	{-1,56}			\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Over time of demand		1-0:11.143.0.255	11.143.0						需量超限时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	double_long_unsigned	默认60S（范围3s-65535s）			\	\	R	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Delay time of over demand		1-0:11.169.0.255	11.169.0						需量超限延时时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	double_long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Number of over demand		1-0:11.167.0.255	11.167.0.						需量超限次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//判断需量	3	0	Hexing		Demand of over threshold		1-0:11.144.0.255	11.144.0						有功需量超限的需量值		
电网质量//判断需量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断需量	3		Hexing	a2	value	double_long_unsigned	默认120%Un*Imax			\	\	R	R		demand	
电网质量//判断需量	3		Hexing	a3	scaler_unit	scal_unit_type	"3P CT: {-1,27}
3P CTPT: {-1,27}
 1P: {0,27}
3P DC: {0,27}"			\	\	R	R			
电网质量//判断需量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	3	0	Hexing		Threshold for over current THD		1-0:11.35.124.255	11.35.E						电流THD超限阀值		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type	{-1,56}			\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for over current THD		1-0:11.44.124.255	11.44.E						电流THD超限延迟时间阀值		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	3	0	Hexing		Threshold for over voltage THD		1-0:12.35.124.255	12.35.E						电压THD超限阀值		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type	{-1,56}			\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for over voltage THD		1-0:12.44.124.255	12.44.E						电压THD超限延迟时间阀值		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	3	0	Hexing		Time threshold for active power THD		1-0:15.35.124.255	15.35.E						总有功功率THD超限阀值		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type	{-1,56}			\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断功率	3	0	Hexing		Load allocation		1-0:1.35.128.255	1.35.h	1.35.h					分时间段的功率阀值		
电网质量//判断功率	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断功率	3		Hexing	a2	value	Load_allocation				\	\	RW	R		power	
电网质量//判断功率	3		Hexing	a3	scaler_unit	scal_unit_type	"3P CT: {-1,27}
3P CTPT: {-1,27}
 1P: {0,27}
3P DC: {0,27}"			\	\	R	R	"老表使用
新表用1类"		
电网质量//判断功率	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断功率	3	0	Hexing		Passive load allocation		1-1:1.35.128.255	1.1.35.h						备用分时间段的功率阀值		
电网质量//判断功率	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断功率	3		Hexing	a2	value	Load_allocation				\	\	RW	R		power	
电网质量//判断功率	3		Hexing	a3	scaler_unit	scal_unit_type	"3P CT: {-1,27}
3P CTPT: {-1,27}
 1P: {0,27}
3P DC: {0,27}"			\	\	R	R	"老表使用
新表用1类"		
电网质量//判断功率	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断功率	3	0	Hexing		Threshold for period maximum power		1-0:1.35.130.255	1.35.130						区间最大功率阀值		
电网质量//判断功率	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断功率	3		Hexing	a2	value	period_max_power_threshold				\	\	RW	R		power	
电网质量//判断功率	3		Hexing	a3	scaler_unit	scal_unit_type	"3P CT: {-1,27}
3P CTPT: {-1,27}
 1P: {0,27}
3P DC: {0,27}"			\	\	R	R			
电网质量//判断功率	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断功率	3	0	Hexing		Threshold for low power		1-0:1.35.131.255	1.35.131						低功率阀值		
电网质量//判断功率	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断功率	3		Hexing	a2	value	double_long_unsigned				\	\	RW	R		power	
电网质量//判断功率	3		Hexing	a3	scaler_unit	scal_unit_type	"3P CT: {-1,27}
3P CTPT: {-1,27}
 1P: {0,27}
3P DC: {0,27}"			\	\	R	R			
电网质量//判断功率	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for main cover removed		0-0:96.1.166.255	C.1.166						开表盖延迟判断时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for terminal cover removed		0-0:96.1.167.255	C.1.167						开端盖延迟判断时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for module cover removed		0-0:97.148.0.255	F.148.0						开通信模块盖判断延迟时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Number of communication module with no response		0-0:97.149.0.255	F.149.0						通信模块无响应连续次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//时间相关	3	0	Hexing		Time threshold for strong DC field		0-0:96.1.172.255	C.1.172						强磁场判断延迟时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Number of strong DC field		0-0:96.1.221.255	C.1.221						强磁场发生次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//时间相关	3	0	Hexing		During of strong DC field		0-0:96.1.222.255	C.1.222						强磁场发生持续时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	double_long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3	0	Hexing		Time threshold for manual disconnection		0-0:96.1.204.255	C.1.204						手动拉闸延迟时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Number of main cover removed		0-0:96.1.200.255	C.1.200						开表盖次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	Hexing		Number of terminal cover removed		1-0:96.2.170.255	C.2.170						开端钮盖次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	Hexing		Days of open cover		1-0:96.53.2.255	C.53.2						已发生开表盖天数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	unsigned				\	\	RW	R			
电网质量//时间相关	3	0	Hexing		During of main cover removed		0-0:96.1.220.255	C.1.220						开表盖持续时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3	0	Hexing		During of terminal cover removed		0-0:96.2.190.255	C.2.190						开端钮盖持续时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//判断需量	3	0	Hexing		Threshold for period demand control		1-0:11.139.0.255	11.139.0						分时间段的需量控制阀值		
电网质量//判断需量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断需量	3		Hexing	a2	value	Load_allocation				\	\	RW	R		demand	
电网质量//判断需量	3		Hexing	a3	scaler_unit	scal_unit_type	"3P CT: {-1,27}
3P CTPT: {-1,27}
 1P: {0,27}
3P DC: {0,27}"			\	\	R	R			
电网质量//判断需量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for over demand exit		1-0:11.140.0.255	11.140.0						过需量退出判断延迟时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for over demand		1-0:11.141.0.255	11.141.0						过需量判断延时时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for magnetic interference		1-0:11.177.0.255	11.177.0						强磁场退出判断延时时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断功率	3	0	Hexing		Power threshold for PFC		1-0:134.130.12.255							PFC值计算功率阀值		
电网质量//判断功率	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断功率	3		Hexing	a2	value	double_long_unsigned				\	\	RW	R		power	
电网质量//判断功率	3		Hexing	a3	scaler_unit	scal_unit_type	"3P CT: {-4,27}
3P CTPT: {-4,27}
 1P: {-4,27}
3P DC: {4,27}"			\	\	R	R			
电网质量//判断功率	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断功率	3	0	Hexing		Power factor deduction threshold for PFC		1-0:134.130.13.255							PFC功率因数扣费阀值		
电网质量//判断功率	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断功率	3		Hexing	a2	value	long_unsigned				\	\	RW	R		power	
电网质量//判断功率	3		Hexing	a3	scaler_unit	scal_unit_type	{-3.255}			\	\	R	R			
电网质量//判断功率	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断功率	3	0	Hexing		Lower limit of monthly average power factor deduction for PFC		1-0:134.130.14.255							月平均功率因数扣费下限		
电网质量//判断功率	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断功率	3		Hexing	a2	value	double_long_unsigned				\	\	RW	R		power	
电网质量//判断功率	3		Hexing	a3	scaler_unit	scal_unit_type	"3P CT: {-1,27}
3P CTPT: {-1,27}
 1P: {0,27}
3P DC: {0,27}"			\	\	R	R			
电网质量//判断功率	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断功率	3	0	Hexing		Ratio of  deduction to monthly electricity consumption for PFC		1-0:134.130.15.255							PFC扣费占月消费电量的比值		
电网质量//判断功率	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断功率	3		Hexing	a2	value	long_unsigned				\	\	RW	R		power	
电网质量//判断功率	3		Hexing	a3	scaler_unit	scal_unit_type	{-3.255}			\	\	R	R			
电网质量//判断功率	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Forgiveness time for manually demand reset		1-0:133.129.0.255	133.A.0						手动需量复位延迟时间		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned	{0,7}			\	\	RW	R			
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type				\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	3	0	Hexing		Upper limit of active power (+) 		1-0:133.131.0.255							有功正向负荷上限		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	BCD[3]	{0,27}			\	\	RW	R			
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type				\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	3	0	Hexing		Upper limit of active power (-) 		1-0:133.132.0.255							有功反向负荷上限		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	BCD[3]	{0,27}			\	\	RW	R			
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type				\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	3	0	Hexing		Query interval for the communication status with IHD		0-0:96.1.151.255	C.1.151						IHD通信故障判断轮询时间		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned	{0,6}			\	\	RW	R			
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type				\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Delay time of enter idle mode 		0-0:96.1.210.255	C.1.210						进入空载模式延迟时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Delay time of  exit idle mode 		0-0:96.1.253.255	C.1.253						退出空载模式延迟时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	3	0	Hexing		Minimum working voltage		1-0:0.3.138.255	0.3.138						最低工作电压		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned				\	\	RW	R	0~200V	power	
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type				\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Date&time of last power failure		0-0:96.2.157.255	C.2.157						最近一次掉电时间		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	octet_string[12]				\	\	R	R	Date_time	Date_time	Hex
电网质量//电网质量	1	0	Hexing		Number of magnetic influence		0-0:96.2.135.255	C.2.135						外部磁场干扰总次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	Hexing		Number of program		0-0:96.2.0.255	C.2.0	C.2.0					表计编程次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	Hexing		Date&time of last program		0-0:96.2.1.255	C.2.1	C.2.1					表计最近一次编程时间		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	octet_string[12]				\	\	R	R	Date_time	Date_time	Hex
电网质量//电网质量	1	0	Hexing		ID of last program		0-0:96.2.156.255	C.2.156						最近一次编程ID		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1	0	Hexing		The number of times KWH  reset to zero after reaching  maximum indication		0-0:96.2.139.255	C.2.139						有功电量到最大值999999..复位到0次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	Hexing		The number of times  KVARH reset to zero after reaching  maximum indication		0-0:96.2.140.255	C.2.140						无功电量到最大值999999..复位到0次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	Hexing		Total number of  tampering in Indonesia		0-0:96.2.159.255	C.2.159						印尼窃电事件次数总和		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	Hexing		Total number of  tampering		0-0:96.2.164.255	C.2.164						窃电事件次数总和		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	Hexing		Maxium records number for  power off		0-0:96.2.141.255	C.2.141						掉电事件最大记录条数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//电网质量	3	0	Hexing		min. limit setting of Temperatrue		0-0:0.5.11.255	0.5.11	0.5.11					高温阀值		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	long				\	\	RW	R			
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type				\	\	R	R	摄氏度		
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for high temperatrue		0-0:0.5.128.255	0.5.h	0.5.h					高温延迟		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		max. limit setting		0-0:0.5.12.255	0.5.12	0.5.12					低温阀值		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type				\	\	R	R	摄氏度		
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	FID2		Unbalance Load Detection		0-0:94.98.15.255							不平衡负载检测（伊朗专用）		
电网质量//电网质量	1		伊朗专用	a1	logical_name	octet_string[6]	"00005E620FFF"			\	\	R	R			Hex
电网质量//电网质量	1		伊朗专用	a2	value	unbalance_load_detection_type				\	\	RW	R	"配置如下信息：
开启检测不平衡的最小电流
判断不平衡的门限 (%)"		
电网质量//时间相关	3	0	Hexing		Delay time of power failure event notification		0-0:96.7.134.255	C.7.134						掉电事件上报最大延时时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	unsigned	30			\	\	RW	R	最大60s,默认30s		
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Event code of  last fraud detection		0-0:96.2.211.255	C.2.211						最近一次窃电事件编码		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	enum				\	\	R	R			
电网质量//电网质量	1	0	Hexing		Occurring time of  last fraud detection		0-0:96.2.212.255	C.2.212						最近一次窃电发生时间日期		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	octet_string				\	\	R	R		Date_time	Hex
电网质量//电网质量	1	0	Hexing		Ending time of  last fraud detection		0-0:96.2.213.255	C.2.213						最近一次窃电结束时间日期		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	octet_string				\	\	R	R		Date_time	Hex
电网质量//电网质量	1	0	Hexing		Event code of first fraud detection		0-0:96.2.214.255	C.2.214						第一次窃电事件编码		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	enum				\	\	R	R			
电网质量//电网质量	1	0	Hexing		Occurring time of first fraud detection		0-0:96.2.215.255	C.2.215						第一次窃电发生时间日期		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	octet_string				\	\	R	R		Date_time	Hex
电网质量//电网质量	1	0	Hexing		Ending time of first fraud detection		0-0:96.2.216.255	C.2.216						第一次窃电结束时间日期		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	octet_string				\	\	R	R		Date_time	Hex
电网质量//电网质量	1	0	Hexing		Event reverse power flow -counter		0-0:96.51.7.255	C.51.7	C.51.7					功率反向总次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	Hexing		Event reverse power flow -timestamp		0-0:96.51.8.255	C.51.8	C.51.8					最近一次功率反向发生时间		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	octet_string				\	\	R	R		Date_time	Hex
电网质量//时间相关	3	0	Hexing		Event reverse power flow -delay time		1-0:71.135.0.255	C.7.134						总功率反向判断延迟		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
